Extra_feature_col,RMSE Score,MAPE Score,Best config
None,137.4959933954879,36008.8061051508,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 1, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': [], 'batch_size': 256}"
time_ft,135.08062703219963,401814.2465207445,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 2, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend'], 'batch_size': 256}"
location_ft,136.6071476548302,337309.89136289875,"{'hidden_dim': 16, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 3, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long'], 'batch_size': 256}"
link_ft,128.32457082788696,134969.92167069775,"{'hidden_dim': 16, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 15, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
weather_ft,143.46277708186665,238643.9848767672,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft,143.5667553908038,312385.04790431727,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 4, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long'], 'batch_size': 256}"
time_ft + link_ft,133.51800825180584,649831.7071996591,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 16, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + weather_ft,148.1808778248612,202309.04641015848,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 5, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft,121.7511280805194,911464.9064180959,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 17, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
location_ft + weather_ft,138.9911926702117,354446.0078907651,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 6, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
link_ft + weather_ft,127.83288515092545,130251.06274168224,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft + link_ft,142.03855679009348,281116.9011071296,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 18, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256'], 'batch_size': 256}"
time_ft + location_ft + weather_ft,143.5907775434615,485585.86354033713,"{'hidden_dim': 16, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 7, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + link_ft + weather_ft,142.08767520052498,281378.9377990395,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 19, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
location_ft + link_ft + weather_ft,128.91407066608656,383189.82163456175,"{'hidden_dim': 32, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 20, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
time_ft + location_ft + link_ft + weather_ft,145.2059260786996,402147.00860149495,"{'hidden_dim': 16, 'layer_num': 2, 'lr': 0.01, 'dropout': 0.2, 'input_feature_num': 21, 'output_feature_num': 1, 'past_seq_len': 50, 'future_seq_len': 1, 'selected_features': ['weekend', 'lat', 'long', '20223', 'GL1', '1255', '1405', '1404', '1403', 'GL2', '1271', '1253', '1401', 'GL3', '1283', '1258', '1256', 'rhum', 'sun', 'vis'], 'batch_size': 256}"
